game_id,season,week,home_team,away_team,full_spread,full_total,full_home_points,full_away_points,1h_spread,1h_total,1h_home_points,1h_away_points,spread_half_naive,total_half_naive,spread_dev,total_dev
401762861,2025,12,Ball State,Eastern Michigan,2.5,48.5,9,24,0.5,23.5,3,17,1.25,24.25,-0.75,-0.75
401756951,2025,12,Cincinnati,Arizona,-6.5,56.5,24,30,-3.5,28.5,14,10,-3.25,28.25,-0.25,0.25
401752768,2025,12,LSU,Arkansas,-4.0,58.5,23,22,-2.5,28.5,16,14,-2.0,29.25,-0.5,-0.75
401752945,2025,12,Tulsa,Oregon State,-1.5,50.5,31,14,0.5,24.5,17,0,-0.75,25.25,1.25,-0.75
401756948,2025,12,Arizona State,West Virginia,-10.0,46.5,25,23,-6.5,23.5,22,10,-5.0,23.25,-1.5,0.25
401752767,2025,12,Kentucky,Tennessee Tech,-22.5,52.5,42,10,-13.5,27.5,28,7,-11.25,26.25,-2.25,1.25
401761651,2025,12,Georgia State,Marshall,9.5,59.5,18,30,5.5,29.5,10,21,4.75,29.75,0.75,-0.25
401762506,2025,12,UAB,North Texas,17.5,69.5,24,53,9.5,35.5,7,31,8.75,34.75,0.75,0.75
401760411,2025,12,New Mexico,Colorado State,-15.5,53.5,20,17,-8.5,27.5,10,0,-7.75,26.75,-0.75,0.75
401757304,2025,12,Missouri State,UTEP,-6.5,47.5,38,24,-3.5,23.5,24,7,-3.25,23.75,-0.25,-0.25
401752903,2025,12,Michigan State,Penn State,7.0,48.5,10,28,3.5,24.5,10,14,3.5,24.25,0.0,0.25
401754593,2025,12,Duke,Virginia,-5.5,59.5,17,34,-3.5,30.5,3,17,-2.75,29.75,-0.75,0.75
