game_id,season,week,home_team,away_team,home_conference,away_conference,home_points,away_points,provider,spread,total
401752887,2025,10,Maryland,Indiana,Big Ten,Big Ten,10,55,DraftKings,21.0,50.5
401767513,2025,10,North Dakota State,Youngstown State,MVFC,MVFC,38,30,ESPN Bet,-26.5,60.5
401760402,2025,10,Boise State,Fresno State,Mountain West,Mountain West,7,30,DraftKings,-17.5,47.5
401752755,2025,10,Florida,Georgia,SEC,SEC,20,24,DraftKings,7.0,50.5
401757294,2025,10,Western Kentucky,New Mexico State,Conference USA,Conference USA,35,16,DraftKings,-7.5,53.5
401752888,2025,10,Minnesota,Michigan State,Big Ten,Big Ten,23,20,DraftKings,-4.5,44.5
401754583,2025,10,Boston College,Notre Dame,ACC,FBS Independents,10,25,DraftKings,31.5,55.5
401767335,2025,10,William & Mary,UAlbany,CAA,CAA,37,7,ESPN Bet,-19.0,50.5
401761642,2025,10,South Alabama,Louisiana,Sun Belt,Sun Belt,22,31,DraftKings,-3.5,52.5
401761641,2025,10,UL Monroe,Old Dominion,Sun Belt,Sun Belt,6,31,DraftKings,16.5,55.5
401754582,2025,10,Stanford,Pittsburgh,ACC,ACC,20,35,DraftKings,13.5,51.5
401754576,2025,10,California,Virginia,ACC,ACC,21,31,DraftKings,6.5,52.5
401767473,2025,10,Nicholls,Houston Christian,Southland,Southland,31,7,ESPN Bet,-11.5,41.5
401767066,2025,10,Eastern Washington,Sacramento State,Big Sky,Big Sky,13,35,ESPN Bet,8.5,59.5
401752753,2025,10,Arkansas,Mississippi State,SEC,SEC,35,38,DraftKings,-5.5,66.5
401767244,2025,10,Abilene Christian,Tarleton State,UAC,UAC,31,28,ESPN Bet,13.5,60.5
401767086,2025,10,UC Davis,Idaho State,Big Sky,Big Sky,36,38,ESPN Bet,-11.5,64.5
401767618,2025,10,San Diego,Dayton,Pioneer,Pioneer,31,13,ESPN Bet,-3.5,48.5
401756940,2025,10,Kansas,Oklahoma State,Big 12,Big 12,38,21,DraftKings,-24.5,54.5
401762850,2025,10,Western Michigan,Central Michigan,Mid-American,Mid-American,24,21,DraftKings,-6.0,43.5
401767288,2025,10,Utah Tech,North Alabama,UAC,UAC,34,33,ESPN Bet,-3.5,54.5
401767534,2025,10,Chattanooga,Western Carolina,Southern,Southern,28,35,ESPN Bet,3.5,62.5
401767213,2025,10,Tennessee State,Lindenwood,Big South-OVC,Big South-OVC,13,35,ESPN Bet,3.5,47.5
401767076,2025,10,Cal Poly,Portland State,Big Sky,Big Sky,35,40,ESPN Bet,-18.0,54.5
401767499,2025,10,Murray State,Southern Illinois,MVFC,MVFC,7,27,ESPN Bet,24.5,58.5
401767282,2025,10,Central Arkansas,Eastern Kentucky,UAC,UAC,13,34,ESPN Bet,-6.5,52.5
401756937,2025,10,Colorado,Arizona,Big 12,Big 12,17,52,DraftKings,4.0,52.5
401767494,2025,10,McNeese,Northwestern State,Southland,Southland,50,3,ESPN Bet,-16.5,48.5
401767464,2025,10,SE Louisiana,East Texas A&M,Southland,Southland,59,14,ESPN Bet,-17.5,55.5
401767525,2025,10,Stephen F. Austin,UT Rio Grande Valley,Southland,Southland,41,17,ESPN Bet,-10.0,55.5
401752756,2025,10,Ole Miss,South Carolina,SEC,SEC,30,14,DraftKings,-12.5,55.5
401767423,2025,10,Florida A&M,Jackson State,SWAC,SWAC,16,41,ESPN Bet,17.0,53.5
401752890,2025,10,Michigan,Purdue,Big Ten,Big Ten,21,16,DraftKings,-21.0,48.5
401760405,2025,10,San Diego State,Wyoming,Mountain West,Mountain West,24,7,DraftKings,-10.0,42.5
401752943,2025,10,Oregon State,Washington State,Pac-12,Pac-12,10,7,DraftKings,3.5,47.5
401752754,2025,10,Auburn,Kentucky,SEC,SEC,3,10,DraftKings,-11.5,44.5
401754578,2025,10,Florida State,Wake Forest,ACC,ACC,42,7,DraftKings,-12.5,50.5
401752892,2025,10,Nebraska,USC,Big Ten,Big Ten,17,21,DraftKings,4.5,59.5
401752757,2025,10,Tennessee,Oklahoma,SEC,SEC,27,33,DraftKings,-3.0,55.5
401754579,2025,10,NC State,Georgia Tech,ACC,ACC,48,36,DraftKings,4.5,58.5
401761643,2025,10,Troy,Arkansas State,Sun Belt,Sun Belt,10,23,DraftKings,-7.5,52.5
401767253,2025,10,Southern Utah,Austin Peay,UAC,UAC,33,17,ESPN Bet,1.5,61.5
401756942,2025,10,Utah,Cincinnati,Big 12,Big 12,45,14,DraftKings,-11.5,57.5
401760403,2025,10,San José State,Hawai'i,Mountain West,Mountain West,45,38,DraftKings,-2.5,55.5
401762851,2025,11,Akron,Massachusetts,Mid-American,Mid-American,44,10,DraftKings,-12.5,51.5
401762852,2025,11,Ohio,Miami (OH),Mid-American,Mid-American,24,20,ESPN Bet,-2.5,50.5
401762853,2025,11,Ball State,Kent State,Mid-American,Mid-American,17,13,DraftKings,-3.0,48.5
401762854,2025,11,Toledo,Northern Illinois,Mid-American,Mid-American,42,3,DraftKings,-14.5,42.5
401761644,2025,11,App State,Georgia Southern,Sun Belt,Sun Belt,23,25,DraftKings,-4.5,62.5
401762500,2025,11,South Florida,UTSA,American Athletic,American Athletic,55,23,DraftKings,-14.0,66.5
401767706,2025,11,Columbia,Harvard,Ivy,Ivy,14,31,ESPN Bet,29.5,48.5
401767347,2025,11,Morgan State,Delaware State,MEAC,MEAC,12,14,ESPN Bet,3.5,54.5
401756946,2025,11,UCF,Houston,Big 12,Big 12,27,30,ESPN Bet,-1.5,47.5
401752896,2025,11,USC,Northwestern,Big Ten,Big Ten,38,17,DraftKings,-14.5,54.5
401762501,2025,11,Memphis,Tulane,American Athletic,American Athletic,32,38,DraftKings,-3.0,53.5
401767676,2025,11,Brown,Yale,Ivy,Ivy,22,34,ESPN Bet,13.5,50.5
401761647,2025,11,Arkansas State,Southern Miss,Sun Belt,Sun Belt,21,27,DraftKings,6.5,54.5
401754584,2025,11,Boston College,SMU,ACC,ACC,13,45,ESPN Bet,10.5,54.5
401762503,2025,11,Army,Temple,American Athletic,American Athletic,14,13,ESPN Bet,-7.5,45.5
401761646,2025,11,Marshall,James Madison,Sun Belt,Sun Belt,23,35,DraftKings,13.5,53.5
401756945,2025,11,Texas Tech,BYU,Big 12,Big 12,29,7,DraftKings,-13.5,50.5
401752893,2025,11,Penn State,Indiana,Big Ten,Big Ten,24,27,ESPN Bet,13.5,50.5
401767262,2025,11,Monmouth,New Hampshire,CAA,CAA,13,34,ESPN Bet,-12.5,61.5
401767755,2025,11,Long Island University,Duquesne,NEC,NEC,29,11,ESPN Bet,7.0,43.5
401767535,2025,11,Chattanooga,Furman,Southern,Southern,45,28,ESPN Bet,-6.0,51.5
401756947,2025,11,West Virginia,Colorado,Big 12,Big 12,29,22,ESPN Bet,-6.5,51.5
401767731,2025,11,Lehigh,Holy Cross,Patriot,Patriot,38,3,ESPN Bet,-20.0,45.5
401767747,2025,11,Central Connecticut,Stonehill,NEC,NEC,40,10,ESPN Bet,-10.0,41.5
401767769,2025,11,St. Francis (PA),Mercyhurst,NEC,NEC,15,16,ESPN Bet,10.0,43.5
401767316,2025,11,Stony Brook,North Carolina A&T,CAA,CAA,38,12,ESPN Bet,-18.5,53.5
401767766,2025,11,Robert Morris,Wagner,NEC,NEC,20,24,ESPN Bet,-2.5,37.5
